Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam,,,,,,,,,,,,,,,,,,,,,,,
Tên đăng nhập:,tovasa_store,,,,,,,,,,,,,,,,,,,,,,
Thời gian tạo báo cáo:,23/05/2022 9:04,,,,,,,,,,,,,,,,,,,,,,
Khoảng thời gian,01/05/2022 - 22/05/2022,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm,Giày cao cổ bé trai bé gái bốt đẹp cho bé KIKNE JDA151,,,,,,,,,,,,,,,,,,,,,,
Trạng thái:,Đang chạy,,,,,,,,,,,,,,,,,,,,,,
Mã Người bán,"145598609	",,,,,,,,,,,,,,,,,,,,,,
Mã sản phẩm,"8780736071	",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
"1	",Chọn Thủ Công,-,-,-,21626,1368,6.33%,37,28,2.70%,2.05%,23912,31599,46,34,8061400,6417200,884777,13218.00554,9,7,0.00%,0.00%
"2	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày HM Bé Gái,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,22,0,0,0.00%,0.00%
"3	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày em bé,3,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,5,0,0,0.00%,0.00%
"4	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày em bé,4,1,25.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,954,12,0,0,0.00%,0.00%
"5	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày das cho bé trai,3,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,4,0,0,0.00%,0.00%
"6	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giầy trẻ em sale,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%
"7	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giầy bata cho bé,3,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2.333333333,0,0,0.00%,0.00%
"8	",giày jordan cho bé,thông thường,Từ khóa mở rộng,giày jordan cho bé gái 10 tuổi,1,1,100.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,121,0,0,0,0.00%,0.00%
"9	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,giay bata be gai,6,1,16.67%,0,0,0.00%,0.00%,0,0,0,0,0,0,413,4.333333333,0,0,0.00%,0.00%
"10	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày cổ cao cho bé gái,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%
"11	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giầy mùa hè,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,10,0,0,0.00%,0.00%
"12	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày Crocs,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,33,0,0,0.00%,0.00%
"13	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,giày bé trai có đèn,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,13,0,0,0.00%,0.00%
"14	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày dép bé trai 4 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,10,0,0,0.00%,0.00%
"15	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Giay thê thao  cho bé gái 10 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,4,0,0,0.00%,0.00%
"16	",giầy cho bé trai,thông thường,Từ khóa mở rộng,sneaker bé gái,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"17	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé trai 4 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,4,0,0,0.00%,0.00%
"18	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Giày có size 40,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,4,0,0,0.00%,0.00%
"19	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giầy thể thao cho bé gái 2 tuổi,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"20	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giầy xuất xịn cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,7,0,0,0.00%,0.00%
"21	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giầy nhựa cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,38,0,0,0.00%,0.00%
"22	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,JD Cổ Cao,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,36,0,0,0.00%,0.00%
"23	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày addidas bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%
"24	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày thể thao cho bé trai 12 tuổi,6,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1.166666667,0,0,0.00%,0.00%
"25	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giầy gucci cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,9,0,0,0.00%,0.00%
"26	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giay mua hè,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%
"27	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày bot,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.5,0,0,0.00%,0.00%
"28	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày cho bé gái 1 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%
"29	",giầy cho bé gái,thông thường,Từ khóa chính xác,giầy cho be gái,21,2,9.52%,0,0,0.00%,0.00%,0,0,0,0,0,0,1539,1.285714286,0,0,0.00%,0.00%
"30	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày cao cổ cho bé gái,7,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,6.714285714,0,0,0.00%,0.00%
"31	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,Giầy Em Bé Trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,5,0,0,0.00%,0.00%
"32	",giày thể thao bé gái,thông thường,Từ khóa chính xác,Giày Thể Thao Bé Gái,109,3,2.75%,0,0,0.00%,0.00%,0,0,0,0,0,0,2654,1.52293578,0,0,0.00%,0.00%
"33	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày trẻ em,13,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,26.07692308,0,0,0.00%,0.00%
"34	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày thể thao bé,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
