Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam,,,,,,,,,,,,,,,,,,,,,,,
Tên đăng nhập:,tovasa_store,,,,,,,,,,,,,,,,,,,,,,
Thời gian tạo báo cáo:,26/05/2022 9:09,,,,,,,,,,,,,,,,,,,,,,
Khoảng thời gian,01/05/2022 - 26/05/2022,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm,Giày cao cổ bé trai bé gái bốt đẹp cho bé KIKNE JDA151,,,,,,,,,,,,,,,,,,,,,,
Trạng thái:,Đang chạy,,,,,,,,,,,,,,,,,,,,,,
Mã Người bán,"145598609	",,,,,,,,,,,,,,,,,,,,,,
Mã sản phẩm,"8780736071	",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
"1	",Chọn Thủ Công,-,-,-,25631,1594,6.22%,40,30,2.51%,1.88%,25797,34396,49,36,8554400,6795200,1031892,16361.92171,8,6,0.00%,0.00%
"2	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày bata cho bé gái 10 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,15,0,0,0.00%,0.00%
"3	",giầy cho bé gái,thông thường,Từ khóa chính xác,Giay cho bé gái,44,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1.590909091,0,0,0.00%,0.00%
"4	",giày thể thao cho bé trai,thông thường,Từ khóa chính xác,Giấy thế thao cho be trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"5	",giày jordan cho bé trai,thông thường,Từ khóa mở rộng,giày bé,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.5,0,0,0.00%,0.00%
"6	",giày cho bé trai,thông thường,Từ khóa mở rộng,giày tập đi bé gái,3,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,43.33333333,0,0,0.00%,0.00%
"7	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày dán cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,5,0,0,0.00%,0.00%
"8	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Giày hè cho bé gái,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,13,0,0,0.00%,0.00%
"9	",giày cho bé trai,thông thường,Từ khóa mở rộng,giầy cho bé trai 5 tuổi,5,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1.2,0,0,0.00%,0.00%
"10	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày lưới bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,7,0,0,0.00%,0.00%
"11	",giày jordan cho bé trai,thông thường,Từ khóa mở rộng,giày sneaker bé trai,3,1,33.33%,0,0,0.00%,0.00%,0,0,0,0,0,0,632,2,0,0,0.00%,0.00%
"12	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày cao cổ cho bé gái,17,1,5.88%,0,0,0.00%,0.00%,0,0,0,0,0,0,933,5.117647059,0,0,0.00%,0.00%
"13	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày adidas cho bé,48,2,4.17%,0,0,0.00%,0.00%,0,0,0,0,0,0,827,4.5,0,0,0.00%,0.00%
"14	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giầy cao su cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%
"15	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày mọi cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,10,0,0,0.00%,0.00%
"16	",giày cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé trai size lớn,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"17	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giầy lỗ trẻ em,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,5,0,0,0.00%,0.00%
"18	",giày thể thao bé gái,thông thường,Từ khóa chính xác,giay the thao bé gái,4,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"19	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày nhựa đi mưa cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,8,0,0,0.00%,0.00%
"20	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Giay the thao cho be gai 2 tuoi,3,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"21	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày thể thao bé trai,5,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,24.6,0,0,0.00%,0.00%
"22	",giày jordan cho bé,thông thường,Từ khóa mở rộng,giày jordan cho bé gái 10 tuổi,1,1,100.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,121,0,0,0,0.00%,0.00%
"23	",giầy cho bé gái,thông thường,Từ khóa chính xác,giay cho bé gái,88,4,4.55%,0,0,0.00%,0.00%,0,0,0,0,0,0,2577,1.761363636,0,0,0.00%,0.00%
"24	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày bé gái sơ sinh,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,9,0,0,0.00%,0.00%
"25	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giay cho be trai,58,2,3.45%,0,0,0.00%,0.00%,0,0,0,0,0,0,680,3.655172414,0,0,0.00%,0.00%
"26	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,giấy cho bé trai,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%
"27	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày Có Bánh Xe Trượt,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,6,0,0,0.00%,0.00%
"28	",giày cho bé trai,thông thường,Từ khóa mở rộng,giay hm be gai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,21,0,0,0.00%,0.00%
"29	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày trẻ em,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,20,0,0,0.00%,0.00%
"30	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Sandan Tập Đi Cho Bé Gái,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,6,0,0,0.00%,0.00%
"31	",giầy cho bé trai,thông thường,Từ khóa mở rộng,sneaker bé trai,7,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,15.28571429,0,0,0.00%,0.00%
"32	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,joden cổ cao,104,7,6.73%,0,0,0.00%,0.00%,0,0,0,0,0,0,2773,6.471153846,0,0,0.00%,0.00%
"33	",giày jordan cho bé trai,thông thường,Từ khóa mở rộng,giày bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,34,0,0,0.00%,0.00%
"34	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé trai 9 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,14,0,0,0.00%,0.00%
