Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam
Tên đăng nhập:,tovasa_store
Thời gian tạo báo cáo:,08/06/2022 10:38
Khoảng thời gian,01/05/2022 - 31/05/2022
Sản phẩm,Giày sandal siêu nhân người nhện bé trai dép quai hậu đi học cho bé mềm nhẹ SDA3
Trạng thái:,Đang chạy
Mã Người bán,145598609	
Mã sản phẩm,15449244791	

Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
1	,Chọn Thủ Công,-,-,-,18738,318,1.70%,9,7,2.83%,2.20%,22278.0,28643.0,9,7,1311000.0,973000.0,200502.0,124684.26862429151,6.0,4.0,0.00%,0.00%
2	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép tông cho bé có quai,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,30.333333333333332,0.0,0.0,0.00%,0.00%
3	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép george cho bé,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,12.333333333333334,0.0,0.0,0.00%,0.00%
4	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dép quái hậu eo sa cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
5	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép trái cây,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.00%,0.00%
6	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,dép sỏ ngón bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
7	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép quai hậu nam loại da,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.00%,0.00%
