Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam
Tên đăng nhập:,tovasa_store
Thời gian tạo báo cáo:,08/06/2022 09:49
Khoảng thời gian,26/05/2022 - 08/06/2022
Sản phẩm,Giày cao cổ bé trai bé gái bốt đẹp cho bé KIKNE JDA151
Trạng thái:,Đang chạy
Mã Người bán,145598609	
Mã sản phẩm,8780736071	

Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
1	,Chọn Thủ Công,-,-,-,16983,936,5.51%,19,14,2.03%,1.50%,34737.0,47144.0,25,15,3955000.0,2835000.0,660018.0,12845.454370617614,5.0,4.0,0.00%,0.00%
2	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giay be trai 7 tuoi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
3	,giày thể thao cho bé gái 10 tuổi,thông thường,Từ khóa mở rộng,giày cho bé gái 6 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,59.0,0.0,0.0,0.00%,0.00%
4	,giày cho bé trai,thông thường,Từ khóa mở rộng,Giày cho bé trai tập đi,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,0.00%,0.00%
5	,giày thể thao cho bé gái 10 tuổi,thông thường,Từ khóa mở rộng,giày thể thao mẹ và bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,16.0,0.0,0.0,0.00%,0.00%
6	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giay cao su cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.00%,0.00%
7	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
8	,giày xinh cho bé,thông thường,Từ khóa mở rộng,giày cho bé gái 2 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.00%,0.00%
9	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày bé gái hm,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.00%,0.00%
10	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Dép bé trai,27,2,7.41%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,1833.0,26.925925925925927,0.0,0.0,0.00%,0.00%
11	,giày thể thao bé gái,thông thường,Từ khóa chính xác,Giày the thao bé gai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
12	,giầy thể thao trẻ em,thông thường,Từ khóa chính xác,giày thể thao trẻ em,69,2,2.90%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,763.0,8.115942028985508,0.0,0.0,0.00%,0.00%
13	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày Nhựa Trẻ Em,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.5,0.0,0.0,0.00%,0.00%
14	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày she,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
15	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giay cho bé trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,36.5,0.0,0.0,0.00%,0.00%
16	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé 1 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
17	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giầy adidas cho bé sơ sinh,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
18	,giày cho bé trai,thông thường,Từ khóa mở rộng,dep cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,11.0,0.0,0.0,0.00%,0.00%
19	,giày thể thao cho bé gái 10 tuổi,thông thường,Từ khóa mở rộng,giay be gai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,49.0,0.0,0.0,0.00%,0.00%
20	,giày cao cổ cho bé,Từ khóa đã xóa,Từ khóa mở rộng,boot nu,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.00%,0.00%
21	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày cho bé trai 5 tuổi,3,1,33.33%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,979.0,0.0,0.0,0.0,0.00%,0.00%
22	,giày thể thao cho bé gái 10 tuổi,thông thường,Từ khóa mở rộng,giày thể thao bé trai 2 tuổi,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
23	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày R,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
24	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày jodan cồ cao cho bé gái,3,1,33.33%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,981.0,3.6666666666666665,0.0,0.0,0.00%,0.00%
25	,giày cho bé trai,thông thường,Từ khóa mở rộng,Giày cao cổ cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
26	,giày xinh cho bé,thông thường,Từ khóa chính xác,Giày xinh cho bé,4,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,17.5,0.0,0.0,0.00%,0.00%
27	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Boot cổ cao,15,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,6.6,0.0,0.0,0.00%,0.00%
28	,giày xinh cho bé,thông thường,Từ khóa mở rộng,Giày panda,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
29	,giày cho bé trai,thông thường,Từ khóa mở rộng,Giày somehow,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.00%,0.00%
30	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày mlb bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
31	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày bé trai sơ sinh,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,39.0,0.0,0.0,0.00%,0.00%
32	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày cho be trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
33	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày cổ cao cho nữ,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
34	,giày thể thao cho bé gái 10 tuổi,thông thường,Từ khóa mở rộng,giày thể thao cho be gái 10 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
35	,giầy cho bé gái,thông thường,Từ khóa chính xác,Giầy Cho Bé Gái,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.00%,0.00%
36	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,joden cổ cao,18,3,16.67%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,2073.0,3.5555555555555554,0.0,0.0,0.00%,0.00%
37	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé trai dưới 1 tuổi,5,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.6,0.0,0.0,0.00%,0.00%
38	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày jodan bé trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
39	,giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Giày cho bé gái size 33,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
40	,giày xinh cho bé,thông thường,Từ khóa mở rộng,Giày cho bé gái 6 tuổi,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.00%,0.00%
